0,"Karratha Police hat einen 20-jährigen Mann beschuldigt , nicht aufzuhalten und rücksichtslos zu fahren .",-2.4815295,-2.4815295
35,"Karratha Police hat einem 20 Jahre alten Mann vorgeworfen , es sei ihm nicht gelungen , aufzuhalten und rücksichts",-2.9449294,[-2.01159607]
1,"Karratha Police hat einen 20-jährigen Mann beschuldigt , nicht zu stoppen und rücksichtslos zu fahren .",-2.5203607000000003,[-2.08527298]
13,"Karratha Police hat einem 20-jährigen Mann den Vorwurf gemacht , dass er nicht gestoppt und rücksichtslos",-2.756753,[-2.11567113]
50,Er soll am 23 . September in Karratha Magistrates Court erscheinen .,-1.541627,-1.541627
53,Er wird in Karratha Magistrates Court am 23 . September erscheinen .,-1.9417194,[-1.77505273]
55,Am 23 . September soll er in Karratha Magistrates Court erscheinen .,-2.0544348,[-1.72110147]
58,Er soll am 23 . September im Richtershof von Karratha erscheinen .,-2.1507392000000003,[-1.67851698]
100,Das Motorrad wurde für drei Monate beschlagnahmt und beschlagnahmt .,-1.4857913,-1.4857913
102,Das Motorrad wurde beschlagnahmt und drei Monate lang beschlagnahmt .,-1.9562379,[-1.6562379]
114,Das Motorrad wurde für einen Zeitraum von drei Monaten beschlagnahmt und beschlagnah,-2.3060539,[-1.6060539]
101,Das Motorrad wurde beschlagnahmt und für drei Monate beschlagnahmt .,-1.8412907,[-1.54684626]
150,George Webster beschuldigt von Vergewaltigungen in Nairn und Pitlochry,-1.1958861,-1.1958861
151,George Webster beschuldigt von Vergewaltigungen im Hotel Nairn und Pitlochry,-1.2166692,[-0.99444698]
153,George Webster beschuldigt von Vergewaltigungen von Hotels in Nairn und Pitloch,-1.4952883999999995,[-1.12862173]
159,George Webster beschuldigt Nairn und Pitlochry Hotelvergewaltigungen,-1.6939346000000002,[-1.16699857]
200,"Ein Mann soll vor Gericht gestellt werden , weil er Frauen in zwei Hotels vergewaltigt hat .",-1.5817902,-1.5817902
215,A man is to stand trial accused of raping women at two hotels .,-2.2849367000000003,[-1.34376023]
201,"Ein Mann muss vor Gericht gestellt werden , weil er Frauen in zwei Hotels vergewaltigt hat .",-1.7330908,[-1.13225047]
202,"Ein Mann wird vor Gericht gestellt , weil er Frauen in zwei Hotels vergewaltigt hat .",-1.9099442,[-1.47436997]
